index,relative_path,category,extension,size_bytes,estimated_records,parse_status,sensitive_keys,observed_keys,sha256
45,public\ocr\books\class6-english\pages\page-040.json,TEXTBOOK_OCR,.json,24243,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,9c5c3decf71dadb1dda370206cbc8fbdab90fe0af30a608edf1510067098e4e3
46,public\ocr\books\class6-english\pages\page-041.json,TEXTBOOK_OCR,.json,23643,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,647b52f904a4326294c690f5237571edf49ad0df746e58e330be292ce232b2cb
47,public\ocr\books\class6-english\pages\page-042.json,TEXTBOOK_OCR,.json,7411,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,766aa1665b600068ce1597c7715e1da3a88f9ed9e1e0df2fe11273e177a3748a
48,public\ocr\books\class6-english\pages\page-043.json,TEXTBOOK_OCR,.json,19351,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,3f61dc59f774ce7b18d39b08f19541a457f9ae4caa762deaaa3dcc1213d7a800
49,public\ocr\books\class6-english\pages\page-044.json,TEXTBOOK_OCR,.json,21223,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,aa78dc311f9e70387af76e07dff4ea5092733a260a2e0608ceb0cd0efcf93897
50,public\ocr\books\class6-english\pages\page-045.json,TEXTBOOK_OCR,.json,24946,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,4739e9632fb6152f446778b93fc2587e13a06ce877b20643f945ad9e58882c90
51,public\ocr\books\class6-english\pages\page-046.json,TEXTBOOK_OCR,.json,21015,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,b04576120028111fc1cc962a4509685acda7d8f4a3ff7bba35e18638a3835cd5
52,public\ocr\books\class6-english\pages\page-047.json,TEXTBOOK_OCR,.json,22272,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,7f44091699fbca23667b6add57bd9e0d67f7562f16a24581b8ee78d61db031e6
53,public\ocr\books\class6-english\pages\page-048.json,TEXTBOOK_OCR,.json,22672,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,d2d55c53328152c7e8a6cba54c5dc5eb829f960ae80cb95828ab5e8ae6001ea7
54,public\ocr\books\class6-english\pages\page-049.json,TEXTBOOK_OCR,.json,17510,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,c50da2dc631ed12cba9b7af03c7b79cca4841fd9394b198ad8c7cf66ff6f783a
55,public\ocr\books\class6-english\pages\page-050.json,TEXTBOOK_OCR,.json,16546,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,8442dd8c03c59d57d204833e22feff1eda4c66f18f303bed31be8f4cb2ebccda
