record_id,book_id,class_level,subject,page_number,lesson_number,lesson_title,text_source,character_count,word_count,line_count,alpha_ratio,usable_for_rag,training_candidate,quality_flags,source_file,alternate_candidate_count,candidate_text_versions,text_sha256
class6-english-page-0078,class6-english,6,English,78,26,Buying Clothes,aiReadyText,667,119,16,0.7556,True,True,,public\ocr\books\class6-english\pages\page-078.json,2,2,a81ee336b9e32ef3710099730bda7dd7926cebd69fab34a0c7d5d47852c49397
class6-english-page-0079,class6-english,6,English,79,26,Buying Clothes,aiReadyText,958,170,22,0.7557,True,True,,public\ocr\books\class6-english\pages\page-079.json,2,2,4a1116a39de0fcc6eaf171f93c753b16f8c0d2551301fa5e97f847790d013f62
class6-english-page-0080,class6-english,6,English,80,26,Buying Clothes,aiReadyText,1107,191,28,0.7904,True,True,,public\ocr\books\class6-english\pages\page-080.json,2,2,ef2508d422d869438f3c328b0304fe955c89e92a619a39b17064c2699245c84d
class6-english-page-0081,class6-english,6,English,81,26,Buying Clothes,aiReadyText,1576,279,31,0.7906,True,True,,public\ocr\books\class6-english\pages\page-081.json,2,2,283a5383234b5039ab55fed94f95caf3fdbb201210ec1dbc5b5779503cd17941
class6-english-page-0082,class6-english,6,English,82,26,Buying Clothes,aiReadyText,1359,255,32,0.7763,True,True,,public\ocr\books\class6-english\pages\page-082.json,2,2,280323309bc41d0cbf00be69b5bc86abb3c7060d601f2b7f6c34f643db064ce7
class6-english-page-0083,class6-english,6,English,83,27,Andre,aiReadyText,447,79,13,0.7852,True,True,,public\ocr\books\class6-english\pages\page-083.json,2,2,3739c1fc3489e754a0fb52d9ce852d0bf4baf58be3f0c33c09938cb599f85902
class6-english-page-0084,class6-english,6,English,84,28,Are You Listening?-3,aiReadyText,1340,256,29,0.756,True,True,,public\ocr\books\class6-english\pages\page-084.json,2,2,748225af55aabf1dd01db66071b48dae42f97d329a89acbb6e10fe39fcb256b4
class6-english-page-0085,class6-english,6,English,85,28,Are You Listening?-3,aiReadyText,699,120,16,0.7668,True,True,,public\ocr\books\class6-english\pages\page-085.json,2,2,248f0f629916b6aa36bcc09e72f540a068be937b5486d1447a0adb2d3dc09fa3
class6-english-page-0086,class6-english,6,English,86,29,Taking a Test,aiReadyText,407,77,11,0.7494,True,True,,public\ocr\books\class6-english\pages\page-086.json,2,2,82967eb2e973545bf45cf22b50a430cdaa07a00de1ea84c2bfac01285cf1b8bb
class6-english-page-0087,class6-english,6,English,87,29,Taking a Test,aiReadyText,910,177,19,0.733,True,True,,public\ocr\books\class6-english\pages\page-087.json,2,2,b6f24e1c8f0746973f1a364151c33eac4d03c6be04923c359cdf3111342dc119
